Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Freja,1.87,46.74,2.22,1.64,54.25,2.34,1.66,46.51,1.95,1.69,46.19,2.09,1.81,46.2,2.21,2.06,46.13,2.33,2.51,46.41,2.47,3.25,50.23,2.75,3.88,64.05,3.36
AnaC,6.54,49.34,3.81,5.05,49.63,3.43,5.83,49.3,3.58,6.52,49.55,3.82,7.33,49.15,3.97,7.65,49.11,3.95,6.69,47.37,3.77,6.96,72.29,3.93,N,N,N
KirikoC,7.41,49.09,4.12,7.95,48.61,3.61,7.33,49.31,3.94,7.17,49.16,4.17,7.5,49.15,4.3,8.51,48.38,4.27,8.2,46.69,4.21,8.99,81.99,4.96,N,N,N
GenjiC,5.48,50.82,2.36,4.57,50.46,2.3,4.75,51.25,2.36,5.53,50.92,2.36,6.22,50.72,2.36,5.97,49.85,2.36,5.48,46.65,2.33,8.41,54.92,2.24,N,N,N
MoiraC,3.22,45.57,4.45,4.49,44.93,3.83,4,46.42,4.3,3.29,45.66,4.57,2.52,44.6,4.73,1.47,42.66,4.58,0.79,39.1,4.09,N,N,N,N,N,N
SojournC,2.87,45.3,2.35,3.26,43.1,2.15,2.95,44.16,2.25,2.75,45.26,2.35,2.81,46.63,2.46,3.24,47.46,2.49,3.7,48.36,2.52,2.9,72.82,2.13,N,N,N
Soldier: 76C,4.13,48.16,2.52,4.56,46.5,2.4,4.72,47.84,2.49,4.32,48.31,2.54,3.59,49.01,2.55,2.42,47.34,2.47,1.28,45.65,2.17,0.29,0,0,N,N,N
CassidyC,6.09,47.73,2.34,4.5,48.02,2.26,5.14,48.55,2.31,6.08,47.9,2.35,7.04,47.18,2.36,7.52,46.73,2.34,6.74,45.29,2.34,6.38,78.55,3.3,N,N,N
ZenyattaC,2.38,48.24,4.51,2.53,48.37,3.99,2.45,49.25,4.35,2.43,48.43,4.57,2.33,47.32,4.73,1.92,45.66,4.67,1.38,38.7,4.04,N,N,N,N,N,N
ReaperC,3.85,50.65,2.37,3.56,50.41,2.39,4.06,50.79,2.42,3.97,50.62,2.37,3.72,50.87,2.33,3.12,49.68,2.28,2.73,46.47,2.22,0.58,0,2,N,N,N
JunoC,1.45,48.3,3.62,2.48,47.15,3.16,1.82,48.65,3.57,1.37,48.28,3.75,1.11,48.58,3.78,1.03,47.63,3.46,0.77,42.56,2.68,2.03,66.6,7.07,N,N,N
AsheC,2.03,51.9,2.84,1.82,50.18,2.7,2.01,52.2,2.83,2.14,51.76,2.86,2.04,52.27,2.84,1.62,51.73,2.73,1.17,51.66,2.74,0.29,0,0,N,N,N
RamattraC,1.78,47.19,3.23,2.3,47.03,3.11,2.26,48.11,3.24,1.85,46.96,3.24,1.31,46.49,3.25,0.84,43.5,3.13,0.63,41.04,3.01,0.58,100,7.25,N,N,N
MercyC,1.96,50.74,3.72,2.51,48.69,2.99,2.04,50.18,3.35,1.92,51.04,3.76,1.94,51.8,4.2,1.56,49.91,4.44,1.62,47.24,4.85,1.16,68.77,3.61,N,N,N
ZaryaC,1.29,52.77,4.36,0.69,53.47,3.93,0.86,53.34,4.03,1.26,52.45,4.28,1.7,52.42,4.57,2.02,53.95,4.75,2.37,52.36,4.67,7.25,71.46,6.97,N,N,N
BastionC,1.92,45.12,2.59,2.77,43.46,2.41,2.48,45.19,2.58,1.95,45.3,2.63,1.41,45.51,2.63,0.85,47.1,2.63,0.58,36.88,2.2,0.58,0,1,N,N,N
LúcioC,1.43,48.77,2.93,1.94,47.68,2.69,1.65,48.76,2.87,1.35,49.04,2.96,1.22,48.88,3.03,1.4,49.29,3.11,1.67,42.87,3.18,0.58,100,6.25,N,N,N
MaugaC,1.37,46.53,3.77,1.51,44.51,3.39,1.51,46.34,3.69,1.44,46.58,3.77,1.24,47.39,3.96,0.86,46.8,4.04,0.66,42.45,4.27,N,N,N,N,N,N
HanzoC,2.51,48.73,2.89,2.91,47.16,2.65,2.39,48.59,2.8,2.43,48.86,2.93,2.58,49.25,3,2.78,48.44,2.92,3.13,48.07,2.95,0.87,35.47,0,N,N,N
PharahC,1.75,48.6,2.42,2.12,46.99,2.44,1.95,48.04,2.44,1.74,48.39,2.38,1.58,49.79,2.44,1.4,51.05,2.53,1.44,49.9,2.77,1.16,46.41,1.36,N,N,N
IllariC,1.22,50.7,3.04,1.74,50.24,2.72,1.53,51.2,2.94,1.17,51.25,3.1,0.93,49.83,3.2,0.95,47.66,3.11,1.53,48.83,3.06,2.03,10.34,4.29,N,N,N
DoomfistC,0.73,52.08,3.38,0.28,57.46,3.75,0.35,53.33,3.34,0.61,52.27,3.31,1.11,51.85,3.39,1.9,50.77,3.48,2.29,50.14,3.75,0.87,0,1.2,N,N,N
VentureC,2.16,51.01,2.28,1.71,50.01,2.31,2.1,50.74,2.31,2.21,50.92,2.29,2.23,51.49,2.24,2.21,51.58,2.19,1.99,49.75,2.32,0.58,0,2.2,N,N,N
JunkratC,1.08,46.9,2.25,1.83,45.48,2.11,1.46,47.44,2.24,1.07,47.47,2.3,0.74,46.39,2.26,0.4,40.09,2.08,0.24,31.07,1.82,N,N,N,N,N,N
SigmaC,2.79,52.2,3.9,2.74,50.44,3.61,3.02,52.15,3.8,2.95,52.45,3.93,2.52,52.49,4.04,2,51.6,4.02,2.27,50.24,3.93,2.61,67.27,9.12,N,N,N
BrigitteC,1.42,48.13,3.54,1.1,47.58,2.99,1.31,48.3,3.27,1.37,48.52,3.51,1.54,47.55,3.77,2.03,48.17,4.03,2.38,47.74,4.04,0.87,39.74,1.9,N,N,N
WidowmakerC,1.34,43.48,2.25,1.45,44.81,2.37,1.25,43.45,2.24,1.31,42.53,2.22,1.39,43.98,2.22,1.52,45.19,2.32,1.85,44.05,2.5,1.45,93.65,3.69,N,N,N
LifeweaverC,1.83,46.76,3.7,2.43,46.02,3.28,2.23,47.36,3.61,1.94,47.02,3.81,1.39,45.88,3.79,0.79,43.67,3.56,0.39,31.8,3.14,1.45,100,3,N,N,N
SombraC,0.53,48.84,3.09,0.36,49.66,3.02,0.34,50.02,3.06,0.43,49.53,3.14,0.71,48.02,3.08,1.21,47.31,3.04,1.35,46.64,2.98,0.87,5.47,3,N,N,N
D.VAC,1.64,49.09,5.48,1.76,45.58,4.69,1.68,48.1,5.17,1.67,49.44,5.53,1.55,50.52,5.87,1.52,50.56,6.14,1.59,49.17,6.47,2.9,67.08,10.19,N,N,N
TorbjörnC,1.27,52.82,2.55,1.72,52.88,2.55,1.54,53.9,2.63,1.24,53.32,2.56,1.05,51.52,2.46,0.97,47.62,2.27,0.88,36.97,2.13,0.58,0,0,N,N,N
TracerC,1.95,50.17,2.25,1.41,50.28,2.21,1.46,49.75,2.21,1.78,49.83,2.21,2.44,50.44,2.26,3.52,51.1,2.4,4.55,50.13,2.77,6.09,70.79,3.47,N,N,N
OrisaC,2.39,45.62,3.35,2.71,44.46,3.11,2.75,45.31,3.25,2.48,45.75,3.37,1.95,45.97,3.51,1.76,46.97,3.7,1.83,48.95,3.9,1.45,100,10.6,N,N,N
HazardC,1.86,49.62,3.48,1.21,49.89,3.34,1.57,49.32,3.34,1.91,49.52,3.44,2.08,49.9,3.59,2.25,50.02,3.76,2.44,47.1,3.66,5.22,82.75,8.58,N,N,N
WinstonC,2.23,47.01,3.32,1.33,46.4,2.91,1.87,46.09,3.09,2.38,46.85,3.26,2.5,47.53,3.51,2.44,48.67,3.78,2.54,47.7,3.98,2.03,63.74,7.25,N,N,N
ReinhardtC,1.51,49.28,2.42,1.69,48.65,2.31,1.81,49.88,2.42,1.67,49.46,2.43,1.12,48.64,2.44,0.62,46.04,2.35,0.58,42.93,2.38,0.87,100,5.63,N,N,N
Junker QueenC,1.25,52.68,4.59,1.03,51.16,4.23,1.24,53.15,4.49,1.34,52.71,4.6,1.21,52.64,4.7,1.01,52.19,4.78,1.02,50.32,4.76,2.61,50.21,4.91,N,N,N
BaptisteC,1.96,47.23,3.6,1.83,46.59,3.18,1.95,47.53,3.4,1.97,47.41,3.65,1.99,47.34,3.8,1.88,45.07,3.76,2.15,43.88,3.83,N,N,N,N,N,N
MeiC,1.1,47.98,2.88,1.03,46.73,2.92,1.19,49.08,2.99,1.19,48.35,2.92,1.01,46.79,2.74,0.64,43.85,2.46,0.42,40.57,2.33,N,N,N,N,N,N
RoadhogC,1.44,43.2,3.52,1.28,46.37,3.62,1.3,44.56,3.43,1.5,43.21,3.52,1.56,42.14,3.6,1.39,39.44,3.48,1.09,37.2,3.33,1.45,100,8.86,N,N,N
EchoC,1.15,48.74,2.26,1.33,47.84,2.15,1.26,48.56,2.21,1.11,48.48,2.25,1.04,49.06,2.34,1.13,50.85,2.49,1.66,50.47,2.52,1.74,80.83,5.28,N,N,N
SymmetraC,1.76,54.07,2.66,0.95,54.82,3.11,1.27,55.98,3.05,1.61,54.12,2.82,2.22,53.11,2.34,3.51,51.82,1.8,5.08,46.46,1.91,7.83,16.44,1.93,N,N,N
Wrecking BallC,0.77,51.64,4.49,0.52,54.45,4.96,0.56,51.77,4.38,0.72,51.16,4.38,0.99,51.95,4.52,1.22,51.42,4.82,1.4,46.01,4.44,0.87,100,11.33,N,N,N
FrejaC,1.22,48.1,2.25,1.42,47.67,2.13,1.27,47.4,2.15,1.21,48.24,2.25,1.16,48.42,2.35,1.15,49.91,2.42,1.41,44.66,2.33,2.03,27.19,1.71,N,N,N
无漾,3.97,53.01,2.92,N,N,N,3.15,54.19,2.12,N,N,N,3.53,51.82,2.28,N,N,N,3.66,52.95,2.68,N,N,N,3.9,53.43,3.02,N,N,N,4.51,53.34,3.32,N,N,N,5.12,52.46,3.55,N,N,N,5.01,52.91,3.81,N,N,N,3.93,57.26,3.44,N,N,N
无漾C,N,N,N,5.8,52.07,3.15,N,N,N,6.04,48.44,3.1,N,N,N,4.64,92.16,7.87,N,N,N,N,N,N,,,
